Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/10/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        04/09",-2.16,DEBIT_CARD,282.28,,
DEBIT,04/09/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,284.44,,
DEBIT,04/09/2018,"VONAGE *PRICE+TAXES 866-243-4357 NJ          04/08",-40.37,DEBIT_CARD,286.94,,
DEBIT,04/09/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            04/08",-4.50,DEBIT_CARD,327.31,,
DEBIT,04/09/2018,"NON-CHASE ATM WITHDRAW               923326  04/08111 NW LO",-48.00,ATM,331.81,,
DEBIT,04/09/2018,"SACOLO LTD - TX SAN ANTONIO TX               04/08",-40.50,DEBIT_CARD,379.81,,
DEBIT,04/09/2018,"ATM WITHDRAWAL                       009733  04/078597 BLAN",-160.00,ATM,420.31,,
DEBIT,04/09/2018,"SOUPER SALAD- SAN ANTO SAN ANTONIO TX        04/07",-18.38,DEBIT_CARD,580.31,,
DEBIT,04/09/2018,"AUTO AIR & VACUUM SERVI PLAINVIEW NY         04/07",-1.00,DEBIT_CARD,598.69,,
DEBIT,04/09/2018,"DIAMOND SHINE SAN ANTONIO TX                 04/07",-6.00,DEBIT_CARD,599.69,,
DEBIT,04/09/2018,"ATM WITHDRAWAL                       009277  04/078597 BLAN",-200.00,ATM,605.69,,
DEBIT,04/09/2018,"LA MARGINAL RESTAURANT SAN ANTONIO TX        04/06",-19.62,DEBIT_CARD,805.69,,
DEBIT,04/09/2018,"BIRD BAKERY LLC SAN ANTONIO TX               04/06",-2.75,DEBIT_CARD,825.31,,
DEBIT,04/09/2018,"MCDONALD'S F25502 SAN ANTONIO TX             04/05",-6.59,DEBIT_CARD,828.06,,
CREDIT,04/09/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 7047884088",100.00,PARTNERFI_TO_CHASE,834.65,,
CREDIT,04/09/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 7045656888",150.00,PARTNERFI_TO_CHASE,734.65,,
CREDIT,04/09/2018,"ATM CASH DEPOSIT 04/07 12503 NW MILITARY HWY SAN ANTONIO TX",140.00,ATM,584.65,,
DEBIT,04/06/2018,"Spotify USA 646-8375380 NY                   04/06",-16.23,DEBIT_CARD,444.65,,
DEBIT,04/06/2018,"TRANSFER TO SAV XXXXX1797 04/06",-50.00,ACCT_XFER,460.88,,
DEBIT,04/06/2018,"Amazon Digital Svcs amzn.com/bill WA         04/06",-9.73,DEBIT_CARD,510.88,,
DEBIT,04/06/2018,"SQ *PACIUGO GELATO AND San Antonio TX        04/05",-5.65,DEBIT_CARD,520.61,,
DEBIT,04/06/2018,"ORDERUP SAN ANTONIO TX                       04/05",-20.46,DEBIT_CARD,526.26,,
DEBIT,04/06/2018,"BIRD BAKERY LLC SAN ANTONIO TX               04/05",-6.75,DEBIT_CARD,546.72,,
DEBIT,04/06/2018,"OSAKA JAPANESE STEAK A 210-8220300 TX        04/04",-23.92,DEBIT_CARD,553.47,,
CREDIT,04/06/2018,"Online Transfer from SAV ...1797 transaction#: 7042632439",50.00,ACCT_XFER,577.39,,
DEBIT,04/05/2018,"SLING.COM 888-393-6312 CO                    04/04",-21.64,DEBIT_CARD,527.39,,
DEBIT,04/05/2018,"SHELL Service Station SAN ANTONIO TX 056116  04/05",-25.97,DEBIT_CARD,549.03,,
DEBIT,04/05/2018,"QuickPay with Zelle payment to D. F. Account 7040809063",-50.00,CHASE_TO_PARTNERFI,575.00,,
DEBIT,04/05/2018,"MCDONALD'S F26150 SAN ANTONIO TX             04/03",-8.66,DEBIT_CARD,625.00,,
DEBIT,04/04/2018,"Netflix.com netflix.com CA                   04/03",-15.14,DEBIT_CARD,633.66,,
DEBIT,04/04/2018,"Seville          WEB PMTS   SDPF31          WEB ID: 9084434801",-1070.90,ACH_DEBIT,648.80,,
DEBIT,04/04/2018,"Wal-Mart Super Center SAN ANTONIO TX         04/04",-16.90,DEBIT_CARD,1719.70,,
DEBIT,04/04/2018,"WHATABURGER 794    Q26 SAN ANTONIO TX        04/02",-13.35,DEBIT_CARD,1736.60,,
DEBIT,04/04/2018,"CAFE DU MONDE - NEW 504-5870835 LA           04/02",-4.96,DEBIT_CARD,1749.95,,
DEBIT,04/03/2018,"WORLD FAMOUS NAWLINS C NEW ORLEANS LA        04/02",-4.98,DEBIT_CARD,1754.91,,
DEBIT,04/03/2018,"PREMIUM PARKING 15045655546 LA               04/02",-10.00,DEBIT_CARD,1759.89,,
DEBIT,04/03/2018,"30 90 NEW ORLEANS LA                         03/31",-10.50,DEBIT_CARD,1769.89,,
DEBIT,04/02/2018,"Upwork 650-8534100 CA                        04/01",-10.00,DEBIT_CARD,1780.39,,
DEBIT,04/02/2018,"TARGET T- 3225 Louisia LAFAYETTE LA          04/02",-6.60,DEBIT_CARD,1790.39,,
DEBIT,04/02/2018,"TARGET T- 3225 Louisia LAFAYETTE LA          04/02",-3.61,DEBIT_CARD,1796.99,,
DEBIT,04/02/2018,"Amazon Digital Svcs amzn.com/bill WA         04/02",-9.73,DEBIT_CARD,1800.60,,
DEBIT,04/02/2018,"CANSECO'S ESPLA NEW ORLEANS LA               04/01",-14.53,DEBIT_CARD,1810.33,,
DEBIT,04/02/2018,"13 NEW ORLEANS LA                            04/01",-10.00,DEBIT_CARD,1824.86,,
DEBIT,04/02/2018,"DBA NEW ORLEANS NEW ORLEANS LA               04/01",-20.00,DEBIT_CARD,1834.86,,
DEBIT,04/02/2018,"CANSECO'S ESPLA NEW ORLEANS LA               03/31",-8.02,DEBIT_CARD,1854.86,,
DEBIT,04/02/2018,"ATM WITHDRAWAL                       003027  03/318014 BAND",-200.00,ATM,1862.88,,
DEBIT,04/02/2018,"QuickPay with Zelle payment to Mama 7025637119",-70.00,CHASE_TO_PARTNERFI,2062.88,,
DEBIT,04/02/2018,"SPEEDY CASH 888-3331360 KS                   03/31",-66.49,DEBIT_CARD,2132.88,,
DEBIT,04/02/2018,"Touchtunes.helpshift TouchTunes.co NY        03/29",-5.00,DEBIT_CARD,2199.37,,
CREDIT,04/02/2018,"ATM CASH DEPOSIT 03/31 8014 BANDERA RD SAN ANTONIO TX",50.00,ATM,2204.37,,
DEBIT,03/30/2018,"QuickPay with Zelle payment to Mama 7023864352",-530.00,CHASE_TO_PARTNERFI,2154.37,,
CREDIT,03/30/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2684.37,,
DEBIT,03/29/2018,"TONGS THAI INC SAN ANTONIO TX                03/27",-20.13,DEBIT_CARD,327.63,,
DEBIT,03/27/2018,"UHS PHARMACY-DOWNTOWN SAN ANTONIO TX         03/26",-10.00,DEBIT_CARD,347.76,,
DEBIT,03/26/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,357.76,,
DEBIT,03/26/2018,"DNH*GODADDY.COM 480-5058855 AZ               03/23",-14.91,DEBIT_CARD,360.26,,
DEBIT,03/26/2018,"FINE SPIR 5140 Broad ALAMO HEIGHTS TX        03/26",-2.14,DEBIT_CARD,375.17,,
DEBIT,03/26/2018,"Amazon Video On Dema AMZN.COM/bill WA        03/25",-4.32,DEBIT_CARD,377.31,,
DEBIT,03/26/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            03/24",-4.30,DEBIT_CARD,381.63,,
DEBIT,03/26/2018,"NON-CHASE ATM WITHDRAW               445545  03/24111 NW LO",-68.00,ATM,385.93,,
DEBIT,03/26/2018,"SACOLO LTD - TX SAN ANTONIO TX               03/25",-30.25,DEBIT_CARD,453.93,,
DEBIT,03/26/2018,"SHELL Service Station SAN ANTONIO TX 234457  03/24",-5.89,DEBIT_CARD,484.18,,
DEBIT,03/26/2018,"ATM WITHDRAWAL                       001485  03/248597 BLAN",-100.00,ATM,490.07,,
DEBIT,03/26/2018,"MCDONALD'S F26150 SAN ANTONIO TX             03/22",-12.99,DEBIT_CARD,590.07,,
CREDIT,03/26/2018,"Online Transfer from SAV ...1797 transaction#: 7008082163",50.00,ACCT_XFER,603.06,,
DEBIT,03/23/2018,"GOOGLE *HBO Dig Sv In 855-836-3987 CA        03/23",-16.23,DEBIT_CARD,553.06,,
DEBIT,03/23/2018,"TRANSFER TO SAV XXXXX1797 03/23",-50.00,ACCT_XFER,569.29,,
DEBIT,03/22/2018,"DNH*GODADDY.COM 480-5058855 AZ               03/21",-10.65,DEBIT_CARD,619.29,,
DEBIT,03/22/2018,"WM SUPERC Wal-Mart Sup SAN ANTONIO TX        03/22",-27.61,DEBIT_CARD,629.94,,
DEBIT,03/22/2018,"BIRD BAKERY LLC SAN ANTONIO TX               03/21",-8.98,DEBIT_CARD,657.55,,
DEBIT,03/22/2018,"U-HAUL MOVING & STORAG SAN ANTONIO TX        03/20",-87.90,DEBIT_CARD,666.53,,
DEBIT,03/22/2018,"MBI-PROBILLER.COM/RK 877-446-0668            03/20",-17.95,DEBIT_CARD,754.43,,
DEBIT,03/21/2018,"PlaystationNetwork 800-3457669 CA            03/21",-10.80,DEBIT_CARD,772.38,,
DEBIT,03/21/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           03/20",-7.43,DEBIT_CARD,783.18,,
DEBIT,03/21/2018,"BIRD BAKERY LLC SAN ANTONIO TX               03/20",-5.50,DEBIT_CARD,790.61,,
DEBIT,03/20/2018,"CITY PUBLIC SRV  CPS WEBPMT 003003547826    WEB ID: 9746002071",-158.92,ACH_DEBIT,796.11,,
DEBIT,03/20/2018,"QuickPay with Zelle payment to Mama 6995723807",-1200.00,CHASE_TO_PARTNERFI,955.03,,
CREDIT,03/20/2018,"ATM CASH DEPOSIT 03/20 8014 BANDERA RD SAN ANTONIO TX",40.00,ATM,2155.03,,
DEBIT,03/19/2018,"MBI*PROBILLER.COM/BZ 8552329585 CA           03/19",-9.99,DEBIT_CARD,2115.03,,
DEBIT,03/19/2018,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-10.83,ACH_DEBIT,2125.02,,
DEBIT,03/19/2018,"Amazon Video On Dema AMZN.COM/bill WA        03/18",-4.32,DEBIT_CARD,2135.85,,
DEBIT,03/19/2018,"BOX*BOX.NET CONSMR SRV 877-7294269 CA        03/17",-10.66,DEBIT_CARD,2140.17,,
DEBIT,03/19/2018,"MCDONALD'S F10675 SAN ANTONIO TX             03/17",-12.61,DEBIT_CARD,2150.83,,
DEBIT,03/19/2018,"DIAMOND SHINE SAN ANTONIO TX                 03/17",-6.00,DEBIT_CARD,2163.44,,
DEBIT,03/19/2018,"Amazon Video On Dema AMZN.COM/bill WA        03/16",-4.32,DEBIT_CARD,2169.44,,
DEBIT,03/19/2018,"JACK IN THE BOX 0819 SAN ANTONIO TX          03/16",-16.85,DEBIT_CARD,2173.76,,
DEBIT,03/19/2018,"TWC*TIME WARNER CABLE 888-TWCABLE TX         03/18",-93.00,DEBIT_CARD,2190.61,,
DEBIT,03/19/2018,"SPRINT *WIRELESS 800-639-6111 KS             03/17",-196.62,DEBIT_CARD,2283.61,,
DEBIT,03/19/2018,"MCDONALD'S F10675 SAN ANTONIO TX             03/15",-16.83,DEBIT_CARD,2480.23,,
DSLIP,03/19/2018,"REMOTE ONLINE DEPOSIT #          1",1346.00,CHECK_DEPOSIT,2497.06,1,
DEBIT,03/16/2018,"CarMax Auto      Finance    CARMAX029754854 WEB ID: E541821055",-376.35,ACH_DEBIT,1151.06,,
DEBIT,03/15/2018,"AmazonPrime Membersh amzn.com/prme WA        03/14",-14.06,DEBIT_CARD,1527.41,,
DEBIT,03/15/2018,"QuickPay with Zelle payment to Mama 6982740128",-434.00,CHASE_TO_PARTNERFI,1541.47,,
DEBIT,03/15/2018,"QuickPay with Zelle payment to Mama 6982262955",-486.00,CHASE_TO_PARTNERFI,1975.47,,
CREDIT,03/15/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2461.47,,
DEBIT,03/14/2018,"PRIVATEINTERNETACCES HTTPSWWW.PRIV CO        03/12",-6.95,DEBIT_CARD,104.73,,
DEBIT,03/13/2018,"GOOGLE *OkCupid 855-836-3987 CA              03/12",-31.97,DEBIT_CARD,111.68,,
DEBIT,03/13/2018,"SPEEDY CASH 888-3331360 KS                   03/11",-500.00,DEBIT_CARD,143.65,,
DEBIT,03/13/2018,"U-HAUL SAN PEDRO SAN ANTONIO TX              03/10",-119.95,DEBIT_CARD,643.65,,
DEBIT,03/12/2018,"FINE SPIR 5140 Broad ALAMO HEIGHTS TX        03/12",-1.72,DEBIT_CARD,763.60,,
DEBIT,03/12/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        03/12",-2.25,DEBIT_CARD,765.32,,
DEBIT,03/12/2018,"WM SUPERC Wal-Mart Sup SAN ANTONIO TX        03/11",-3.97,DEBIT_CARD,767.57,,
DEBIT,03/12/2018,"CORNER STORE 1084 SAN ANTONIO TX     767348  03/11",-6.26,DEBIT_CARD,771.54,,
DEBIT,03/12/2018,"SACOLO LTD - TX SAN ANTONIO TX               03/11",-25.25,DEBIT_CARD,777.80,,
DEBIT,03/12/2018,"SHELL Service Station SAN ANTONIO TX 403428  03/10",-4.39,DEBIT_CARD,803.05,,
DEBIT,03/12/2018,"DIAMOND SHINE SAN ANTONIO TX                 03/10",-6.00,DEBIT_CARD,807.44,,
DEBIT,03/12/2018,"ATM WITHDRAWAL                       004125  03/108597 BLAN",-60.00,ATM,813.44,,
DEBIT,03/12/2018,"TRANS CHINA BOWL EXPRE LEON VALLEY TX        03/07",-9.29,DEBIT_CARD,873.44,,
CREDIT,03/12/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 6973406688",500.00,PARTNERFI_TO_CHASE,882.73,,
CREDIT,03/12/2018,"ATM CASH DEPOSIT 03/10 8597 BLANCO RD SAN ANTONIO TX",60.00,ATM,382.73,,
DEBIT,03/09/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        03/09",-6.66,DEBIT_CARD,322.73,,
DEBIT,03/09/2018,"TRANSFER TO SAV XXXXX1797 03/09",-50.00,ACCT_XFER,329.39,,
DEBIT,03/09/2018,"PICNIKINS PATIO CAFE SAN ANTONIO TX          03/08",-17.07,DEBIT_CARD,379.39,,
DEBIT,03/09/2018,"MCDONALD'S F10675 SAN ANTONIO TX             03/07",-2.76,DEBIT_CARD,396.46,,
CREDIT,03/09/2018,"Online Transfer from SAV ...1797 transaction#: 6969670067",50.00,ACCT_XFER,399.22,,
DEBIT,03/08/2018,"VONAGE *PRICE+TAXES 866-243-4357 NJ          03/08",-40.02,DEBIT_CARD,349.22,,
DEBIT,03/07/2018,"Spotify USA 646-8375380 NY                   03/06",-16.23,DEBIT_CARD,389.24,,
DEBIT,03/07/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           03/06",-10.20,DEBIT_CARD,405.47,,
DEBIT,03/06/2018,"Amazon Digital Svcs amzn.com/bill WA         03/06",-9.73,DEBIT_CARD,415.67,,
DEBIT,03/06/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           03/05",-14.38,DEBIT_CARD,425.40,,
DEBIT,03/05/2018,"Netflix.com netflix.com CA                   03/03",-15.14,DEBIT_CARD,439.78,,
DEBIT,03/05/2018,"SLING.COM 888-393-6312 CO                    03/04",-21.64,DEBIT_CARD,454.92,,
DEBIT,03/05/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        03/05",-5.75,DEBIT_CARD,476.56,,
DEBIT,03/05/2018,"AUTOZONE  4266 14810 B SAN ANTONIO TX663102  03/04",-7.03,DEBIT_CARD,482.31,,
DEBIT,03/05/2018,"Wal-Mart Super Center SAN ANTONIO TX         03/04",-4.49,DEBIT_CARD,489.34,,
DEBIT,03/05/2018,"DIAMOND SHINE SAN ANTONIO TX                 03/03",-6.00,DEBIT_CARD,493.83,,
DEBIT,03/05/2018,"BILL MILLER BAR-B-Q - SAN ANTONIO TX         03/03",-5.61,DEBIT_CARD,499.83,,
DEBIT,03/05/2018,"UHS PHARMACY-DOWNTOWN SAN ANTONIO TX         03/03",-30.00,DEBIT_CARD,505.44,,
DEBIT,03/05/2018,"CARWASH AMERICA EXPRES SAN ANTONIO TX        03/03",-24.00,DEBIT_CARD,535.44,,
DEBIT,03/05/2018,"MCDONALD'S F26150 SAN ANTONIO TX             03/02",-9.15,DEBIT_CARD,559.44,,
DEBIT,03/02/2018,"Upwork 650-8534100 CA                        03/01",-10.00,DEBIT_CARD,568.59,,
DEBIT,03/02/2018,"Amazon Digital Svcs amzn.com/bill WA         03/02",-9.73,DEBIT_CARD,578.59,,
DEBIT,03/01/2018,"Seville          WEB PMTS   64CL21          WEB ID: 9084434801",-1071.34,ACH_DEBIT,588.32,,
DEBIT,03/01/2018,"ATM WITHDRAWAL                       008372  03/018014 BAND",-100.00,ATM,1659.66,,
DEBIT,03/01/2018,"QuickPay with Zelle payment to Mama 6941280596",-540.00,CHASE_TO_PARTNERFI,1759.66,,
DEBIT,03/01/2018,"SPEEDY CASH 888-3331360 KS                   02/28",-80.74,DEBIT_CARD,2299.66,,
DEBIT,02/28/2018,"USA*MINUTE KEY, INC. BOULDER TX              02/27",-4.33,DEBIT_CARD,2380.40,,
DEBIT,02/28/2018,"U-HAUL MOVING & STORAG SAN ANTONIO TX        02/26",-102.90,DEBIT_CARD,2384.73,,
CREDIT,02/28/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2487.63,,
DEBIT,02/27/2018,"WM SUPERC Wal-Mart Sup SAN ANTONIO TX        02/27",-1.93,DEBIT_CARD,130.89,,
DEBIT,02/27/2018,"QuickPay with Zelle payment to D. F. Account 6934749117",-32.50,CHASE_TO_PARTNERFI,132.82,,
DEBIT,02/26/2018,"DNH*GODADDY.COM 480-5058855 AZ               02/23",-14.91,DEBIT_CARD,165.32,,
DEBIT,02/26/2018,"Amazon.com AMZN.COM/BILL WA                  02/26",-21.48,DEBIT_CARD,180.23,,
DEBIT,02/26/2018,"BILL MILLER BAR-B-Q - SAN ANTONIO TX         02/25",-13.48,DEBIT_CARD,201.71,,
DEBIT,02/26/2018,"SHELL Service Station SAN ANTONIO TX 029658  02/25",-4.09,DEBIT_CARD,215.19,,
DEBIT,02/26/2018,"WHATABURGER 794    Q26 SAN ANTONIO TX        02/24",-8.97,DEBIT_CARD,219.28,,
DEBIT,02/26/2018,"SHELL Service Station SAN ANTONIO TX 065323  02/24",-34.69,DEBIT_CARD,228.25,,
DEBIT,02/26/2018,"MCDONALD'S F26150 SAN ANTONIO TX             02/24",-4.33,DEBIT_CARD,262.94,,
DEBIT,02/26/2018,"PIZZA HUT 6295 SAN ANTONIO TX                02/23",-35.83,DEBIT_CARD,267.27,,
DEBIT,02/26/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           02/23",-6.32,DEBIT_CARD,303.10,,
DEBIT,02/26/2018,"BABY TACO GARAGE SAN ANTONIO TX              02/23",-20.07,DEBIT_CARD,309.42,,
DEBIT,02/26/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            02/22",-8.26,DEBIT_CARD,329.49,,
DEBIT,02/23/2018,"GOOGLE *HBO Dig Sv In 855-836-3987 CA        02/23",-16.23,DEBIT_CARD,337.75,,
DEBIT,02/23/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        02/23",-6.06,DEBIT_CARD,353.98,,
DEBIT,02/23/2018,"TRANSFER TO SAV XXXXX1797 02/23",-50.00,ACCT_XFER,360.04,,
DEBIT,02/23/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           02/22",-10.33,DEBIT_CARD,410.04,,
CREDIT,02/23/2018,"Online Transfer from SAV ...1797 transaction#: 6928370943",50.00,ACCT_XFER,420.37,,
DEBIT,02/22/2018,"DNH*GODADDY.COM 480-5058855 AZ               02/21",-10.65,DEBIT_CARD,370.37,,
DEBIT,02/22/2018,"CORNER STORE 2196 ALAMO HEIGHTS TX   703824  02/22",-7.81,DEBIT_CARD,381.02,,
DEBIT,02/22/2018,"JIMMY JOHNS - 979 - E 210-820-0800 TX        02/21",-11.20,DEBIT_CARD,388.83,,
DEBIT,02/21/2018,"PlaystationNetwork 800-3457669 CA            02/21",-10.80,DEBIT_CARD,400.03,,
DEBIT,02/21/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           02/20",-11.77,DEBIT_CARD,410.83,,
DEBIT,02/20/2018,"MBI*PROBILLER.COM/BZ 8552329585 CA           02/17",-9.99,DEBIT_CARD,422.60,,
DEBIT,02/20/2018,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-10.83,ACH_DEBIT,432.59,,
DEBIT,02/20/2018,"DNH*GODADDY.COM 480-5058855 AZ               02/16",-15.17,DEBIT_CARD,443.42,,
DEBIT,02/20/2018,"DNH*GODADDY.COM 480-5058855 AZ               02/19",-19.17,DEBIT_CARD,458.59,,
DEBIT,02/20/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        02/20",-12.92,DEBIT_CARD,477.76,,
DEBIT,02/20/2018,"QuickPay with Zelle payment to D. F. Account 6916055019",-40.00,CHASE_TO_PARTNERFI,490.68,,
DEBIT,02/20/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           02/19",-14.53,DEBIT_CARD,530.68,,
DEBIT,02/20/2018,"SQ *GIRL SCOUTS OF SOU San Antonio TX        02/18",-8.00,DEBIT_CARD,545.21,,
DEBIT,02/20/2018,"WM SUPERC Wal-Mart Sup SAN ANTONIO TX        02/18",-28.51,DEBIT_CARD,553.21,,
DEBIT,02/20/2018,"SPORT CLIPS - TX323 - SAN ANTONIO TX         02/18",-28.00,DEBIT_CARD,581.72,,
DEBIT,02/20/2018,"QuickPay with Zelle payment to Mama 6913538258",-210.00,CHASE_TO_PARTNERFI,609.72,,
DEBIT,02/20/2018,"QuickPay with Zelle payment to D. F. Account 6913212017",-50.00,CHASE_TO_PARTNERFI,819.72,,
DEBIT,02/20/2018,"U-HAUL SAN PEDRO SAN ANTONIO TX              02/17",-10.90,DEBIT_CARD,869.72,,
DEBIT,02/20/2018,"CORNER STORE 2086 SAN ANTONIO TX     046570  02/17",-1.36,DEBIT_CARD,880.62,,
DEBIT,02/20/2018,"BOX*BOX.NET CONSMR SRV 877-7294269 CA        02/17",-10.66,DEBIT_CARD,881.98,,
DEBIT,02/20/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            02/17",-3.66,DEBIT_CARD,892.64,,
DEBIT,02/20/2018,"U-HAUL SAN PEDRO SAN ANTONIO TX              02/17",-44.69,DEBIT_CARD,896.30,,
DEBIT,02/20/2018,"BILL MILLER BAR-B-Q - SAN ANTONIO TX         02/17",-6.04,DEBIT_CARD,940.99,,
DEBIT,02/20/2018,"HEB  #102 SAN ANTONIO TX                     02/16",-14.68,DEBIT_CARD,947.03,,
DEBIT,02/20/2018,"PAPA JOHN'S 00892 210-308-7272 TX            02/17",-21.65,DEBIT_CARD,961.71,,
DEBIT,02/20/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            02/16",-8.63,DEBIT_CARD,983.36,,
DEBIT,02/20/2018,"SPEEDY CASH 888-3331360 KS                   02/15",-80.74,DEBIT_CARD,991.99,,
DEBIT,02/16/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        02/16",-12.43,DEBIT_CARD,1072.73,,
DEBIT,02/16/2018,"STARBUCKS STORE 13839 SAN ANTONIO TX         02/15",-3.19,DEBIT_CARD,1085.16,,
DEBIT,02/16/2018,"5GUYS 0405 QSR SAN ANTONIO TX                02/15",-9.83,DEBIT_CARD,1088.35,,
DEBIT,02/16/2018,"MBI-PROBILLER.COM/RK 877-446-0668            02/15",-17.95,DEBIT_CARD,1098.18,,
DEBIT,02/15/2018,"AmazonPrime Membersh amzn.com/prme WA        02/14",-11.90,DEBIT_CARD,1116.13,,
DEBIT,02/15/2018,"VENMO            PAYMENT    909186293       WEB ID: 3264681992",-20.00,ACH_DEBIT,1128.03,,
DEBIT,02/15/2018,"PAYPAL           INST XFER  488J2ADW4A8PY   WEB ID: PAYPALSI77",-25.00,ACH_DEBIT,1148.03,,
DEBIT,02/15/2018,"QuickPay with Zelle payment to Mama 6905645528",-1230.00,CHASE_TO_PARTNERFI,1173.03,,
DEBIT,02/15/2018,"SPRINT *WIRELESS 800-639-6111 KS             02/15",-145.02,DEBIT_CARD,2403.03,,
CREDIT,02/15/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2548.05,,
DEBIT,02/14/2018,"PRIVATEINTERNETACCES HTTPSWWW.PRIV CO        02/12",-6.95,DEBIT_CARD,191.31,,
DEBIT,02/14/2018,"TWC*TIME WARNER CABLE 888-TWCABLE TX         02/14",-87.00,DEBIT_CARD,198.26,,
DEBIT,02/13/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           02/12",-11.37,DEBIT_CARD,285.26,,
DEBIT,02/13/2018,"MCDONALD'S F1725 SAN ANTONIO TX              02/11",-4.93,DEBIT_CARD,296.63,,
DEBIT,02/12/2018,"VENMO            PAYMENT    901982734       WEB ID: 3264681992",-25.00,ACH_DEBIT,301.56,,
DEBIT,02/12/2018,"VENMO            PAYMENT    902211828       WEB ID: 3264681992",-40.00,ACH_DEBIT,326.56,,
DEBIT,02/12/2018,"VENMO            PAYMENT    901370671       WEB ID: 3264681992",-50.00,ACH_DEBIT,366.56,,
DEBIT,02/12/2018,"VENMO            PAYMENT    903078612       WEB ID: 3264681992",-50.00,ACH_DEBIT,416.56,,
DEBIT,02/12/2018,"WAL-MART #4162 SAN ANTONIO TX                02/11",-12.95,DEBIT_CARD,466.56,,
DEBIT,02/12/2018,"TGI FRIDAY'S 1565 SAN ANTONIO TX             02/11",-35.12,DEBIT_CARD,479.51,,
DEBIT,02/12/2018,"BILL MILLER BAR-B-Q - SAN ANTONIO TX         02/11",-14.00,DEBIT_CARD,514.63,,
DEBIT,02/12/2018,"BILL MILLER BAR-B-Q - SAN ANTONIO TX         02/11",-11.32,DEBIT_CARD,528.63,,
DEBIT,02/12/2018,"QuickPay with Zelle payment to D. F. Account 6895100650",-80.00,CHASE_TO_PARTNERFI,539.95,,
DEBIT,02/12/2018,"HEB  #102 SAN ANTONIO TX                     02/10",-50.51,DEBIT_CARD,619.95,,
DEBIT,02/12/2018,"744080 - U-HAUL 5810 S SAN ANTONIO TX860752  02/10",-119.95,DEBIT_CARD,670.46,,
DEBIT,02/12/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            02/10",-4.63,DEBIT_CARD,790.41,,
DEBIT,02/12/2018,"SHELL Service Station SAN ANTONIO TX 073250  02/10",-38.24,DEBIT_CARD,795.04,,
DEBIT,02/12/2018,"GOOGLE *Wallet P2P C g.co/walleth# CA        02/09",-50.00,DEBIT_CARD,833.28,,
DEBIT,02/12/2018,"PAYPAL *CANDICENORI 402-935-7733 CA          02/09",-25.00,DEBIT_CARD,883.28,,
DEBIT,02/12/2018,"GOOGLE *W8 Tech g.co/helppay# CA             02/10",-24.99,DEBIT_CARD,908.28,,
CREDIT,02/12/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 6894121715",500.00,PARTNERFI_TO_CHASE,933.27,,
DEBIT,02/09/2018,"TRANSFER TO SAV XXXXX1797 02/09",-50.00,ACCT_XFER,433.27,,
CREDIT,02/09/2018,"Online Transfer from SAV ...1797 transaction#: 6892215925",50.00,ACCT_XFER,483.27,,
CREDIT,02/09/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 6892204756",300.00,PARTNERFI_TO_CHASE,433.27,,
DEBIT,02/08/2018,"VONAGE *PRICE+TAXES 866-243-4357 NJ          02/08",-40.02,DEBIT_CARD,133.27,,
